date,AQIÖ¸Êý,PM2.5,PM10,O3,no2,so2,co,T,Po,U,Ff,VV,RRR
2021/12/24,-0.619486507,-0.596517479,-0.833459715,-0.775515,0.250699441,-1.383044329,-0.763662375,-2.14046859,0.349418706,1.277059773,-1.037988774,-0.58150293,0.591205758
2021/12/25,-0.840530035,-0.563588532,-1.593077505,-0.53551853,-0.471424627,-1.383044329,-1.098255524,-1.781499168,0.745608917,0.476433891,-1.037988774,0.499270779,-0.216275332
2021/12/26,-1.116834446,-1.35388326,-1.125620403,-0.835514117,0.070168424,-0.997601383,-0.429069226,-1.442472492,1.062561086,0.976825067,1.346038826,0.259098843,-0.244119508
2021/12/27,-1.116834446,-0.794091161,-0.95032399,-0.595517647,-0.29089361,-0.997601383,-0.763662375,-1.183216799,1.300275213,-0.174074638,-0.243312908,0.859528682,-0.216275332
2021/12/28,-1.061573564,-0.794091161,-0.891891852,-0.475519412,-0.110362593,-0.612158437,-0.763662375,-1.063560325,1.22103717,-0.023957286,0.551362959,0.859528682,-0.244119508
2021/12/29,-0.619486507,-0.794091161,-0.95032399,-0.595517647,-0.110362593,-0.612158437,-0.763662375,-1.123388562,1.260656191,-0.124035521,-0.243312908,0.859528682,-0.244119508
2021/12/30,-0.785269153,-0.958735896,-0.95032399,-0.715515882,0.070168424,-0.997601383,-0.763662375,-0.963846597,1.775703466,-0.324191991,-0.243312908,0.859528682,-0.244119508
2021/12/31,-1.006312682,-0.827020108,-0.95032399,-0.595517647,-0.110362593,-0.997601383,-0.763662375,-1.103445816,1.815322487,0.07612095,-1.037988774,0.859528682,-0.244119508
2022/1/1,-1.061573564,-0.925806949,-0.891891852,-0.715515882,-0.110362593,-0.997601383,-0.763662375,-0.983789342,1.379513255,-0.274152874,-0.243312908,0.859528682,-0.244119508
2022/1/2,-1.116834446,-0.827020108,-1.008756128,-0.655516765,-0.471424627,-1.383044329,-0.763662375,-1.123388562,1.379513255,-0.324191991,-1.037988774,0.859528682,-0.244119508
2022/1/3,-1.116834446,-0.629446426,-0.891891852,-0.475519412,-0.832486661,-1.383044329,-1.098255524,-1.163274053,1.062561086,0.126160067,-0.243312908,0.859528682,-0.244119508
2022/1/4,-0.840530035,-1.123380631,-0.95032399,-0.415520295,-0.471424627,-0.997601383,-1.098255524,-0.90401836,0.626751853,-0.274152874,-0.243312908,0.859528682,-0.244119508
2022/1/5,-0.840530035,-0.892878002,-1.067188265,-0.355521177,-0.471424627,-0.997601383,-1.432848673,-0.90401836,0.389037727,-0.874622286,-1.037988774,0.859528682,-0.244119508
2022/1/6,-0.840530035,-1.02459379,-0.775027577,-0.355521177,-0.110362593,-0.997601383,-1.432848673,-0.923961105,0.349418706,-1.224896109,0.551362959,0.859528682,-0.244119508
2022/1/7,-0.785269153,-0.991664843,-1.008756128,-0.29552206,-0.651955644,-0.997601383,-1.432848673,-0.963846597,0.428656748,-1.074778756,0.551362959,0.859528682,-0.244119508
2022/1/8,-0.840530035,-0.925806949,-0.366002613,-0.235522942,0.431230458,-0.997601383,-1.098255524,-0.90401836,0.50789479,-0.77454405,-0.243312908,0.859528682,-0.244119508
2022/1/9,-0.674747389,-0.201370116,-1.125620403,-0.235522942,-1.013017678,-1.383044329,-1.767441822,-0.564991683,0.032466536,-0.824583168,0.551362959,0.859528682,-0.244119508
2022/1/10,-0.619486507,-1.123380631,-0.658163302,-0.235522942,-0.832486661,-1.383044329,-0.763662375,-0.784361886,-0.363723675,-0.924661403,-1.037988774,0.859528682,-0.244119508
2022/1/11,-0.730008271,-0.267228009,-0.833459715,-0.415520295,-0.29089361,-1.383044329,-1.098255524,-0.604877175,0.389037727,-1.375013462,0.551362959,0.859528682,-0.244119508
2022/1/12,-0.785269153,-0.761162214,-0.891891852,-0.355521177,-0.29089361,-0.997601383,-1.098255524,-0.724533649,0.270180663,-0.824583168,0.551362959,0.859528682,-0.244119508
2022/1/13,-0.840530035,-0.794091161,-1.008756128,-0.355521177,-1.193548694,-1.383044329,-1.432848673,-0.62481992,0.587132832,-1.074778756,0.551362959,0.859528682,-0.244119508
2022/1/14,-0.730008271,-0.925806949,-1.125620403,-0.655516765,-0.471424627,-0.997601383,-1.098255524,-0.644762666,0.032466536,-0.624426697,0.551362959,0.859528682,-0.244119508
2022/1/15,-1.061573564,-0.892878002,-0.833459715,-1.195508822,-0.110362593,-1.383044329,-0.763662375,-0.62481992,0.111704579,-1.074778756,0.551362959,0.859528682,-0.244119508
2022/1/16,-1.006312682,-0.464801691,-0.891891852,-0.715515882,-0.651955644,-0.997601383,-1.098255524,-1.562128966,0.547513811,1.026864185,0.551362959,-0.221245027,0.591205758
2022/1/17,-1.172095329,-0.530659585,-0.073841925,-0.415520295,0.972823509,-0.997601383,-1.098255524,-2.220239573,1.775703466,0.626551244,-0.243312908,-0.821674865,-0.244119508
2022/1/18,-0.564225624,0.226706195,-0.015409787,-0.955512352,0.972823509,-0.997601383,-0.763662375,-1.861270151,1.141799128,0.376355656,-1.832664641,0.018926908,-0.244119508
2022/1/19,-0.45370386,-0.234299062,-1.534645367,-0.475519412,-0.471424627,-0.997601383,-1.432848673,-2.120525844,-0.007152485,1.076903303,-1.037988774,0.859528682,0.869647513
2022/1/20,-0.895790918,-1.189238525,-1.359348954,-0.895513235,-0.29089361,-0.997601383,-1.098255524,-1.562128966,-0.680675844,-0.073996403,0.551362959,0.859528682,-0.244119508
2022/1/21,-1.006312682,-1.02459379,-1.651509642,-0.29552206,-1.193548694,-1.383044329,-1.432848673,-1.980926625,-0.680675844,1.076903303,-1.037988774,0.859528682,0.006478072
2022/1/22,-0.619486507,-1.584385888,-1.534645367,-0.05552559,-1.554610728,-1.383044329,-1.767441822,-1.661842694,-1.23534214,-0.524348462,-0.243312908,0.859528682,-0.244119508
2022/1/23,-0.398442978,-1.419741154,-0.95032399,-0.05552559,-1.013017678,-0.997601383,-1.432848673,-1.282930527,-0.799532907,-0.77454405,1.346038826,0.859528682,-0.244119508
2022/1/24,-0.398442978,-0.464801691,-0.775027577,-0.355521177,-1.374079711,-1.383044329,-1.098255524,-0.983789342,-0.324104654,-0.524348462,0.551362959,0.499270779,-0.244119508
2022/1/25,-0.785269153,-0.201370116,-1.184052541,-0.235522942,-1.374079711,-1.383044329,-1.432848673,-1.442472492,-0.522199759,0.92678595,-0.243312908,-0.941760833,0.006478072
2022/1/26,-0.564225624,-0.794091161,-1.417781091,-0.475519412,-1.374079711,-1.383044329,-1.098255524,-0.824247377,-0.442961717,-0.724504933,0.551362959,0.859528682,-0.216275332
2022/1/27,-0.840530035,-0.827020108,-1.476213229,-0.355521177,-1.374079711,-1.383044329,-1.432848673,-0.983789342,-0.20524759,-0.124035521,1.346038826,0.859528682,-0.244119508
2022/1/28,-0.785269153,-0.958735896,-1.359348954,-0.05552559,-1.554610728,-0.997601383,-1.767441822,-1.342758764,-0.680675844,0.026081832,-0.243312908,0.859528682,-0.021366104
2022/1/29,-0.398442978,-0.991664843,-0.833459715,-0.05552559,-0.832486661,-0.997601383,-1.432848673,-1.522243475,-0.87877095,-0.874622286,-1.037988774,0.859528682,-0.244119508
2022/1/30,-0.45370386,-0.135512222,-0.833459715,-1.375506175,-1.374079711,-0.612158437,-0.094476077,-1.322816018,-1.23534214,0.226238303,-0.243312908,0.259098843,-0.244119508
2022/1/31,-0.840530035,-0.36601485,-0.307570475,-0.235522942,-1.735141745,0.158727454,-0.429069226,-2.359838792,-0.442961717,0.876746832,-0.243312908,-1.662276639,-0.244119508
2022/2/1,-0.232660331,0.358421983,-0.891891852,-0.415520295,-1.735141745,-0.612158437,-0.763662375,-1.123388562,-1.076866055,-0.374231109,1.346038826,0.859528682,-0.244119508
2022/2/2,-1.061573564,-0.431872744,-0.599731164,0.124471763,-1.554610728,-0.226715492,-0.429069226,-2.838464688,0.111704579,0.776668597,0.551362959,0.619356746,-0.160586981
2022/2/3,-0.232660331,-0.168441169,-0.599731164,0.244469998,-1.554610728,-0.612158437,-1.432848673,-1.302873273,-0.086390527,-0.874622286,0.551362959,0.859528682,-0.216275332
2022/2/4,-0.066877685,0.029132513,-0.833459715,-0.415520295,-1.374079711,-0.612158437,-1.432848673,-0.963846597,0.389037727,-1.124817874,-0.243312908,0.859528682,-0.244119508
2022/2/5,-0.895790918,-0.234299062,-1.70994178,-0.115524707,-1.735141745,-0.997601383,-1.432848673,-1.023674833,-0.165628569,0.026081832,1.346038826,0.859528682,-0.244119508
2022/2/6,-0.619486507,-1.650243782,-1.534645367,0.364468233,-1.554610728,-0.612158437,-1.432848673,-1.980926625,-1.076866055,0.376355656,1.346038826,0.859528682,1.704972779
2022/2/7,0.04364408,-1.222167472,-1.067188265,0.064472645,-1.554610728,-0.226715492,-1.432848673,-1.36270151,-0.442961717,-0.974700521,-0.243312908,0.859528682,-0.244119508
2022/2/8,-0.343182096,-0.925806949,-1.300916816,0.304469115,-1.554610728,-0.612158437,-1.432848673,-0.983789342,-0.641056823,-1.224896109,0.551362959,0.859528682,-0.244119508
2022/2/9,-0.177399449,-0.794091161,-1.125620403,0.42446735,-1.374079711,-0.612158437,-1.432848673,-0.784361886,-0.363723675,-1.475091697,0.551362959,0.859528682,-0.244119508
2022/2/10,0.31994849,-0.497730638,-0.424434751,0.42446735,-1.193548694,-0.612158437,-1.432848673,-0.545048938,-0.918389971,-1.42505258,2.140714692,0.859528682,-0.244119508
2022/2/11,0.154165844,0.39135093,0.218318764,0.784462055,-0.832486661,-0.612158437,-1.098255524,-0.584934429,-0.56181878,-1.274935227,-0.243312908,0.859528682,-0.244119508
2022/2/12,0.375209373,1.115787764,-0.073841925,0.724462938,-0.471424627,-0.226715492,-1.432848673,-0.584934429,-1.116485076,-1.525130815,0.551362959,0.259098843,-0.244119508
2022/2/13,0.375209373,0.621853559,0.861072278,0.964459408,0.611761475,-0.226715492,-0.429069226,-1.183216799,-0.403342696,-1.074778756,-0.243312908,0.859528682,-0.244119508
2022/2/14,1.480427016,1.774366703,0.159886626,0.66446382,-1.013017678,-0.226715492,-1.098255524,-0.684648157,-0.442961717,-1.725287286,0.551362959,0.859528682,-0.244119508
2022/2/15,1.701470545,0.819427241,-0.366002613,0.544465585,-1.193548694,-0.226715492,-1.098255524,-0.505163446,-0.918389971,-1.62520905,1.346038826,0.859528682,-0.244119508
2022/2/16,0.375209373,0.226706195,-0.658163302,0.064472645,-1.193548694,-0.997601383,-1.432848673,-0.445335209,-1.710770393,-1.775326403,1.346038826,0.859528682,-0.244119508
2022/2/17,-0.398442978,-0.234299062,-0.658163302,0.18447088,-0.832486661,-0.612158437,-1.098255524,-0.325678736,-1.671151372,-1.174856991,0.551362959,0.859528682,-0.244119508
2022/2/18,-0.287921214,-0.300156956,0.393615177,-0.715515882,0.070168424,-0.612158437,-0.429069226,-0.066423042,-1.116485076,-1.224896109,0.551362959,0.859528682,-0.244119508
2022/2/19,0.04364408,1.017000923,-1.417781091,-0.835514117,-1.193548694,-0.612158437,-0.763662375,-2.100583099,-0.086390527,0.626551244,1.346038826,-1.061846801,-0.244119508
2022/2/20,-1.503660622,-0.925806949,-1.184052541,-1.01551147,-1.193548694,-0.612158437,-0.763662375,-3.157548619,0.111704579,0.626551244,-0.243312908,-1.061846801,-0.244119508
